NAME,TYPE,LOCATION,
"ai-hub-44212377","Azure AI hub","France Central"
"ai-project-44212377","Azure AI project","France Central"
"aitour-44212377-ca","Container App","France Central"
"aitour-44212377-containerapps-env","Container Apps Environment","France Central"
"aoai-44212377","Azure AI services","France Central"
"appi-44212377","Application Insights","France Central"
"Application Insights Smart Detection","Action group","Global"
"cosmos-contoso-44212377","Azure Cosmos DB account","France Central"
"cr44212377","Container registry","France Central"
"Failure Anomalies - appi-44212377","Smart detector alert rule","Global"
"id-44212377","Managed Identity","France Central"
"kv-44212377","Key vault","France Central"
"log-44212377","Log Analytics workspace","France Central"
"srch-44212377","Search service","France Central"
"st44212377","Storage account","France Central"
